Title,URL,Duration,Date,Views,Likes,Dislikes,Show,Description,Day Of The Week,Days Since Published,Views Per Day,Likes Per Day,Dislikes Per Day,Likes Minus Dislikes,Geoff,Jack,Gavin,Ryan,Ray,Michael,Lindsey,Caleb,Kdin,Matt,Jeremy,Barbara,Brandon,Burnie,Kerry,Dan,Lindsay
Let's Play Minecraft - Episode 158 - Againderman,https://www.youtube.com/watch?v=SAgN0o8a_Uo,45.0,2015-06-05,1014007,14344,349,Let's Play,"The Xbox 360 version of Minecraft updated and added more achievements! So Geoff, Jack, Michael, Ryan, and Gavin are taking up the task to slay the Enderdrago...",Friday,41,24732.0,350.0,9.0,13995,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
VS Episode 118: Jeremy vs. Lindsay,https://www.youtube.com/watch?v=vV11OnyqOiU,3.4,2015-06-04,378473,10619,330,VS,This week&#39;s VS features new faces in new places. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://bit.ly/achiev...,Thursday,42,9011.0,253.0,8.0,10289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPIDERMAN in GTA 5! Mod Gameplay!,https://www.youtube.com/watch?v=p8UGRU8dVHo,12.0,2015-06-04,956400,20489,875,Let's Play,"Spiderman, Spiderman Wants to drink a black &amp; tan Grab a plane, any size Holds on tight with meaty thighs Look out! Here comes the Spiderman Can he fly? Sure...",Thursday,42,22771.0,488.0,21.0,19614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Mega Coin Squad,https://www.youtube.com/watch?v=B4ddioTScfw,26.0,2015-06-04,394747,6308,302,Let's Play,The AH Crew franticly fight each other to grab as many coins as possible in a squad like fashion. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of ...,Thursday,42,9399.0,150.0,7.0,6006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - NHL 15 Part 2,https://www.youtube.com/watch?v=nwn23UR4W7g,22.0,2015-06-03,425827,12506,176,Let's Play,Geoff and Jack demanded a rematch! Ryan and Michael must defend their NHL Championship title! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the ...,Wednesday,43,9903.0,291.0,4.0,12330,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
35 Gamerscore - GO! #84,https://www.youtube.com/watch?v=W5-b4PRjPcc,11.0,2015-06-02,507135,9697,160,Unknown,"This week\xe2\x80\x99s Go is pretty simple: get 35 gamerscore. Not 30. Not 40. Exactly 35. Should be easy, right? || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be par...",Tuesday,44,11526.0,220.0,4.0,9537,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Depth,https://www.youtube.com/watch?v=1p7ZqBUzf4c,33.0,2015-06-02,629879,9245,174,Let's Play,"Geoff, Jack, Ryan, Michael, Jeremy, and special guest Max Kruemcke become deadly sharks and terrified divers in the high stress game of Depth. When there&#39;s b...",Tuesday,44,14315.0,210.0,4.0,9071,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
Let's Play - GTA V - The Pacific Standard Job Part 2,https://www.youtube.com/watch?v=a_XT2RjnfYw,42.0,2015-06-01,696807,11414,164,Let's Play,AH continues their relentless and totally legit professional prep for the last GTA Heist! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achi...,Monday,45,15485.0,254.0,4.0,11250,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Destiny: House of Wolves,https://www.youtube.com/watch?v=fg6wdn_nWr0,23.0,2015-05-31,452842,7937,245,Let's Play,"The Gents are back in Destiny, hunting down Fallen from the House of Wolves. Check out their adventure through the newest DLC. || FREE EDGAR: http://bit.ly/L...",Sunday,46,9844.0,173.0,5.0,7692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Tera,https://www.youtube.com/watch?v=c1QWqAJ12kg,34.0,2015-05-29,477513,6020,551,Let's Play,"Geoff, Jack, Ryan, Michael, and Matt party up and take on a dungeon in Tera Online! Download the video game here: http://bit.ly/1zOM6pU Follow this link to r...",Friday,48,9948.0,125.0,11.0,5469,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Let's Play Minecraft - Episode 157 - Shopping List X Finale,https://www.youtube.com/watch?v=fAhEz-F6-Hc,42.0,2015-05-29,755686,12056,236,Let's Play,It&#39;s time to check out and see who comes out with the full cart! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http...,Friday,48,15743.0,251.0,5.0,11820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VS Episode 117: Lindsay vs. Jack,https://www.youtube.com/watch?v=gQyEVJjwDqk,9.0,2015-05-28,396928,8121,417,VS,"Lindsay takes Jack on a journey of the mind, body and beard. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://b...",Thursday,49,8101.0,166.0,9.0,7704,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Let's Play - Trivial Pursuit Live Part 3,https://www.youtube.com/watch?v=4b6dqXum2No,25.0,2015-05-28,505140,9817,118,Let's Play,The AH crew returns to showing off how smart they are about specific things. Trivia is not one of those things. || FREE EDGAR: http://bit.ly/LetsPlayChannel ...,Thursday,49,10309.0,200.0,2.0,9699,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BE THE COPS - GTA 5 Mods,https://www.youtube.com/watch?v=wbozVj3Q4kM,11.0,2015-05-28,849795,18082,1746,Unknown,"Listen up, rookie. The streets of Los Santos are dangerous. Literally any civilian out there could be carrying. Carrying what, you ask? You name it: drugs. H...",Thursday,49,17343.0,369.0,36.0,16336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Let's Play - NHL 15,https://www.youtube.com/watch?v=vztzieftRHE,16.0,2015-05-27,502183,11906,266,Let's Play,The &quot;Team OG&quot; Ducks face off against the &quot;Crazy Mad&quot; Devils in the very first Achievement Hunter NHL Let&#39;s Play! || FREE EDGAR: http://bit.ly/LetsPlayChannel...,Wednesday,50,10044.0,238.0,5.0,11640,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
